GO_Term	IcSeco
http://purl.obolibrary.org/obo/GO_0051527	1.0
http://purl.obolibrary.org/obo/GO_0051524	1.0
http://purl.obolibrary.org/obo/GO_0002597	1.0
http://purl.obolibrary.org/obo/GO_0002598	0.898551983823744
http://purl.obolibrary.org/obo/GO_0051525	1.0
http://purl.obolibrary.org/obo/GO_0002591	0.9359934281536016
http://purl.obolibrary.org/obo/GO_0002592	0.7971039676474881
http://purl.obolibrary.org/obo/GO_0002593	0.898551983823744
http://purl.obolibrary.org/obo/GO_0051528	1.0
http://purl.obolibrary.org/obo/GO_0002594	0.898551983823744
http://purl.obolibrary.org/obo/GO_0051529	1.0
http://purl.obolibrary.org/obo/GO_0002590	0.8719868563072033
http://purl.obolibrary.org/obo/GO_1905930	0.898551983823744
http://purl.obolibrary.org/obo/GO_1905931	1.0
http://purl.obolibrary.org/obo/GO_1905932	1.0
http://purl.obolibrary.org/obo/GO_1905933	0.7188628193067239
http://purl.obolibrary.org/obo/GO_1905934	0.8345454119773457
http://purl.obolibrary.org/obo/GO_1905935	0.8345454119773457
http://purl.obolibrary.org/obo/GO_1905936	0.8345454119773457
http://purl.obolibrary.org/obo/GO_1905937	0.9359934281536016
http://purl.obolibrary.org/obo/GO_1905938	0.9359934281536016
http://purl.obolibrary.org/obo/GO_1905939	0.7705388401309473
http://purl.obolibrary.org/obo/GO_0002566	0.898551983823744
http://purl.obolibrary.org/obo/GO_0051533	1.0
http://purl.obolibrary.org/obo/GO_0002567	1.0
http://purl.obolibrary.org/obo/GO_0051534	1.0
http://purl.obolibrary.org/obo/GO_0075501	1.0
http://purl.obolibrary.org/obo/GO_0002568	0.8719868563072033
http://purl.obolibrary.org/obo/GO_0075502	1.0
http://purl.obolibrary.org/obo/GO_0051531	1.0
http://purl.obolibrary.org/obo/GO_0002569	0.898551983823744
http://purl.obolibrary.org/obo/GO_0075503	1.0
http://purl.obolibrary.org/obo/GO_0051532	1.0
http://purl.obolibrary.org/obo/GO_0051537	1.0
http://purl.obolibrary.org/obo/GO_0002562	0.7330973958010898
http://purl.obolibrary.org/obo/GO_0075504	1.0
http://purl.obolibrary.org/obo/GO_0051538	1.0
http://purl.obolibrary.org/obo/GO_0002563	0.9359934281536016
http://purl.obolibrary.org/obo/GO_0075505	1.0
http://purl.obolibrary.org/obo/GO_0002564	1.0
http://purl.obolibrary.org/obo/GO_0075506	1.0
http://purl.obolibrary.org/obo/GO_0051535	1.0
http://purl.obolibrary.org/obo/GO_0002565	0.898551983823744
